WARNING 2025-08-17 22:27:57,070 basehttp 8 140488233440960 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:57,075 log 8 140488233440960 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-08-17 22:27:57,076 basehttp 8 140488233440960 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:57,101 log 8 140487683983040 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:27:57,102 log 8 140488241833664 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:27:57,103 log 8 140488207214272 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:27:57,104 basehttp 8 140487683983040 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:57,105 basehttp 8 140488241833664 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:57,105 basehttp 8 140488207214272 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2025-08-17 22:28:09,722 basehttp 8 140488241833664 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4353
WARNING 2025-08-17 22:28:09,753 log 8 140488241833664 Not Found: /static/admin/css/base.css
WARNING 2025-08-17 22:28:09,757 log 8 140487683983040 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-08-17 22:28:09,758 log 8 140488233440960 Not Found: /static/admin/js/theme.js
WARNING 2025-08-17 22:28:09,760 log 8 140488223999680 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:28:09,761 log 8 140488207214272 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:28:09,762 log 8 140488198821568 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:28:09,763 basehttp 8 140488241833664 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:28:09,766 basehttp 8 140487683983040 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:28:09,766 basehttp 8 140488233440960 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:28:09,768 basehttp 8 140488223999680 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:28:09,770 basehttp 8 140488207214272 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:28:09,771 basehttp 8 140488198821568 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:28:09,777 log 8 140488198821568 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-08-17 22:28:09,778 basehttp 8 140488198821568 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:28:09,811 log 8 140488241833664 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:28:09,813 log 8 140488223999680 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:28:09,813 log 8 140488207214272 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:28:09,814 basehttp 8 140488241833664 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:28:09,815 basehttp 8 140488223999680 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:28:09,816 basehttp 8 140488207214272 "GET /static/admin/css/login.css HTTP/1.1" 404 179
INFO 2025-08-17 22:30:18,635 basehttp 8 140488198821568 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-08-17 22:30:18,647 basehttp 8 140488198821568 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4177
WARNING 2025-08-17 22:30:18,759 log 8 140488198821568 Not Found: /static/admin/css/base.css
WARNING 2025-08-17 22:30:18,761 basehttp 8 140488198821568 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:30:18,768 log 8 140488207214272 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-08-17 22:30:18,770 log 8 140488198821568 Not Found: /static/admin/js/theme.js
WARNING 2025-08-17 22:30:18,773 log 8 140488241833664 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:30:18,775 basehttp 8 140488198821568 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:30:18,775 basehttp 8 140488207214272 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:30:18,776 basehttp 8 140488241833664 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:30:18,781 log 8 140488223999680 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:30:18,784 log 8 140488233440960 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:30:18,785 basehttp 8 140488223999680 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:30:18,786 basehttp 8 140488233440960 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:30:18,822 log 8 140488233440960 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-08-17 22:30:18,823 basehttp 8 140488233440960 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:30:18,837 log 8 140488198821568 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:30:18,838 log 8 140488223999680 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:30:18,839 log 8 140488241833664 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:30:18,840 basehttp 8 140488198821568 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:30:18,840 basehttp 8 140488223999680 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:30:18,841 basehttp 8 140488241833664 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2025-08-17 22:33:44,012 basehttp 8 140488233440960 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4177
WARNING 2025-08-17 22:33:44,049 log 8 140488233440960 Not Found: /static/admin/css/base.css
WARNING 2025-08-17 22:33:44,051 log 8 140488241833664 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-08-17 22:33:44,053 log 8 140488198821568 Not Found: /static/admin/js/theme.js
WARNING 2025-08-17 22:33:44,057 log 8 140488223999680 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:33:44,059 log 8 140488215606976 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:33:44,062 log 8 140488207214272 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:33:44,063 basehttp 8 140488233440960 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:33:44,064 basehttp 8 140488241833664 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:33:44,065 basehttp 8 140488198821568 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:33:44,066 basehttp 8 140488223999680 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:33:44,068 basehttp 8 140488215606976 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:33:44,069 basehttp 8 140488207214272 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:33:44,091 log 8 140488207214272 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-08-17 22:33:44,092 log 8 140488215606976 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:33:44,093 log 8 140488223999680 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:33:44,094 log 8 140488198821568 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:33:44,097 basehttp 8 140488207214272 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:33:44,097 basehttp 8 140488215606976 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:33:44,098 basehttp 8 140488223999680 "GET /static/admin/css/login.css HTTP/1.1" 404 179
